Short _Name,Long_Name,Short_Description,Long_Description,Data_Source,,,,,,,,,,,,,,,,,,,,,
m14_moe_2018,White_Population_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m14_2017,White_Population_2017,Percentage of population that is White or Caucasian,Population self-identified as non-Hispanic White or Caucasian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m14_moe_2017,White_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m14_2010,White_Population_2010,Percentage of population that is White or Caucasian,Population self-identified as non-Hispanic White or Caucasian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m14_2016,White_Population_2000,Percentage of population that is White or Caucasian,Population self-identified as non-Hispanic White or Caucasian alone divided by total population.,U.S. Census Bureau 2000 Census,,,,,,,,,,,,,,,,,,,,,
m15_2018,Black_Population_2018,Percentage of population that is Black or African American,Population self-identified as non-Hispanic Black or African American alone divided by total population.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m15_moe_2018,Black_Population_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m15_2017,Black_Population_2017,Percentage of population that is Black or African American,Population self-identified as non-Hispanic Black or African American alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m15_moe_2017,Black_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m15_2010,Black_Population_2010,Percentage of population that is Black or African American,Population self-identified as non-Hispanic Black or African American alone divided by total population.,U.S. Census Bureau 2010 Census,,,,,,,,,,,,,,,,,,,,,
m15_2000,Black_Population_2000,Percentage of population that is Black or African American,Population self-identified as non-Hispanic Black or African American alone divided by total population.,U.S. Census Bureau 2000 Census,,,,,,,,,,,,,,,,,,,,,
m16_2018,Asian_Population_2018,Percentage of population that is Asian,Population self-identified as non-Hispanic Asian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m16_moe_2018,Asian_Population_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m16_2017,Asian_Population_2017,Percentage of population that is Asian,Population self-identified as non-Hispanic Asian alone divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m16_moe_2017,Asian_Population_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m16_2010,Asian_Population_2010,Percentage of population that is Asian,Population self-identified as non-Hispanic Asian alone divided by total population.,U.S. Census Bureau 2010 Census,,,,,,,,,,,,,,,,,,,,,
m16_2000,Asian_Population_2000,Percentage of population that is Asian,Population self-identified as non-Hispanic Asian alone divided by total population.,U.S. Census Bureau 2000 Census,,,,,,,,,,,,,,,,,,,,,
m17_2018,All_Other_Races_2018,Percentage of population of all other races,"Population self-identified as non-Hispanic American Indian, Alaska Native alone, Native Hawaiian, Other Pacific Islander, or Some other race alone and population of Two or more races, divided by total population.","U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m17_moe_2018,All_Other_Races_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m17_2017,All_Other_Races_2017,Percentage of population of all other races,"Population self-identified as non-Hispanic American Indian, Alaska Native alone, Native Hawaiian, Other Pacific Islander, or Some other race alone and population of Two or more races, divided by total population.","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m17_moe_2017,All_Other_Races_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m17_2010,All_Other_Races_2010,Percentage of population of all other races,"Population self-identified as non-Hispanic American Indian, Alaska Native alone, Native Hawaiian, Other Pacific Islander, or Some other race alone and population of Two or more races, divided by total population.",U.S. Census Bureau 2010 Census,,,,,,,,,,,,,,,,,,,,,
m17_2000,All_Other_Races_2000,Percentage of population of all other races,"Population self-identified as non-Hispanic American Indian, Alaska Native alone, Native Hawaiian, Other Pacific Islander, or Some other race alone and population of Two or more races, divided by total population.",U.S. Census Bureau 2000 Census,,,,,,,,,,,,,,,,,,,,,
m18_2018,Hispanic_Latino_2018,Percentage of population that is Hispanic/Latino,Population self-identified as Hispanic or Latino divided by total population.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m18_moe_2018,Hispanic_Latino_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m18_2017,Hispanic_Latino_2017,Percentage of population that is Hispanic/Latino,Population self-identified as Hispanic or Latino divided by total population.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m18_moe_2017,Hispanic_Latino_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m18_2010,Hispanic_Latino_2010,Percentage of population that is Hispanic/Latino,Population self-identified as Hispanic or Latino divided by total population.,U.S. Census Bureau 2010 Census,,,,,,,,,,,,,,,,,,,,,
m18_2000,Hispanic_Latino_2000,Percentage of population that is Hispanic/Latino,Population self-identified as Hispanic or Latino divided by total population.,U.S. Census Bureau 2000 Census,,,,,,,,,,,,,,,,,,,,,
m11_2017,Vacant_Land_2018,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2018",,,,,,,,,,,,,,,,,,,,,
r11_2017,Vacant_Land_Area_2018,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2018",,,,,,,,,,,,,,,,,,,,,
m11_2017,Vacant_Land_2017,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2017",,,,,,,,,,,,,,,,,,,,,
r11_2017,Vacant_Land_Area_2017,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2017",,,,,,,,,,,,,,,,,,,,,
m11_2016,Vacant_Land_2016,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2016",,,,,,,,,,,,,,,,,,,,,
r11_2016,Vacant_Land_Area_2016,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2016",,,,,,,,,,,,,,,,,,,,,
m11_2015,Vacant_Land_2015,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, 2015",,,,,,,,,,,,,,,,,,,,,
r11_2015,Vacant_Land_Area_2015,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, 2015",,,,,,,,,,,,,,,,,,,,,
m11_2013,Vacant_Land_2013,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, April 2014",,,,,,,,,,,,,,,,,,,,,
r11_2013,Vacant_Land_Area_2013,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, April 2014",,,,,,,,,,,,,,,,,,,,,
m11_2011,Vacant_Land_2011,Percentage of land area that is vacant,Total area of tax parcels classified as vacant divided by total land area.,"Charlotte Mecklenburg Planning Department, April 2012",,,,,,,,,,,,,,,,,,,,,
r11_2011,Vacant_Land_Area_2011,Vacant land area (acres),Total area of tax parcels classified as vacant. Vacant land was classified as part of an existing land use survey conducted by the Charlotte-Mecklenburg Planning Department.,"Charlotte Mecklenburg Planning Department, April 2012",,,,,,,,,,,,,,,,,,,,,
Economy,,,,,,,,,,,,,,,,,,,,,,,,,
m37_2018,Household_Income_2017,Median household income (Dollars),"Median household income as estimated in the American Community Survey. Median household income is inflation-adjusted to the most recent year of the five-year estimate. When a Neighborhood Profile Area is comprised of more than one block group, the median household income is calculated by linear interpolation from a range of ages published in the American Community Survey. ","U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m37_moe_2018,Household_Income_moe_2017,Margin of Error (Dollars),"The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error. The margin of error is not calculated for NPA's that are comprised of more than one block group. When combining NPA's, this variable should be used with caution. ","U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m37_2017,Household_Income_2017,Median household income (Dollars),"Median household income as estimated in the American Community Survey. Median household income is inflation-adjusted to the most recent year of the five-year estimate. When a Neighborhood Profile Area is comprised of more than one block group, the median household income is calculated by linear interpolation from a range of ages published in the American Community Survey. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m37_moe_2017,Household_Income_moe_2017,Margin of Error (Dollars),"The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error. The margin of error is not calculated for NPA's that are comprised of more than one block group. When combining NPA's, this variable should be used with caution. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m80_2018,Public_Nutrition_Assistance_2018,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2016; Population Estimate, 2018",,,,,,,,,,,,,,,,,,,,,
m80_2017,Public_Nutrition_Assistance_2017,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2016; Population Estimate, 2017",,,,,,,,,,,,,,,,,,,,,
m80_2016,Public_Nutrition_Assistance_2016,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2015; Population Estimate, 2016",,,,,,,,,,,,,,,,,,,,,
m80_2015,Public_Nutrition_Assistance_2015,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September  2014; Population Estimate, 2015",,,,,,,,,,,,,,,,,,,,,
m80_2013,Public_Nutrition_Assistance_2013,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population estimate.","Mecklenburg County Department of Social Services, September 2012; Population Estimate, 2013",,,,,,,,,,,,,,,,,,,,,
m80_2011,Public_Nutrition_Assistance_2011,Percentage of residents receiving public nutrition assistance,"Number of residents receiving public nutrition assistance, divided by the total population.","Mecklenburg County Department of Social Services, August 2011; U.S. Census Bureau 2010 Census",,,,,,,,,,,,,,,,,,,,,
m38_2018,Employment_Rate_2018,Percentage of adults who are employed,Number of individuals ages 16 to 64 that are employed divided by the number of individuals ages 16 to 64 in the labor force.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m38_moe_2018,Employment_Rate_moe_2018,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2014-2018 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m38_2017,Employment_Rate_2017,Percentage of adults who are employed,Number of individuals ages 16 to 64 that are employed divided by the number of individuals ages 16 to 64 in the labor force.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m38_moe_2017,Employment_Rate_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates",,,,,,,,,,,,,,,,,,,,,
m75_2015,Job_Density_2015,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2015",,,,,,,,,,,,,,,,,,,,,
r75_2015,Jobs_2015,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2015",,,,,,,,,,,,,,,,,,,,,
m75_2014,Job_Density_2014,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2014",,,,,,,,,,,,,,,,,,,,,
r75_2014,Jobs_2014,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2014",,,,,,,,,,,,,,,,,,,,,
m75_2013,Job_Density_2013,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2013",,,,,,,,,,,,,,,,,,,,,
r75_2013,Jobs_2013,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2013",,,,,,,,,,,,,,,,,,,,,
m75_2012,Job_Density_2012,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2012",,,,,,,,,,,,,,,,,,,,,
r75_2012,Jobs_2012,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2012",,,,,,,,,,,,,,,,,,,,,
m75_2011,Job_Density_2011,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2011",,,,,,,,,,,,,,,,,,,,,
r75_2011,Jobs_2011,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2011",,,,,,,,,,,,,,,,,,,,,
m75_2010,Job_Density_2010,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2010",,,,,,,,,,,,,,,,,,,,,
r75_2010,Jobs_2010,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2010",,,,,,,,,,,,,,,,,,,,,
m75_2009,Job_Density_2009,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2009",,,,,,,,,,,,,,,,,,,,,
r75_2009,Jobs_2009,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2009",,,,,,,,,,,,,,,,,,,,,
